geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1135656,Kuran wa Munjan,P,PPLA2,AF,Afghanistan,,1,1104,,,0,,2550,Asia/Kabul,2018/2/17,Afghanistan
1122464,Taywarah,P,PPLA2,AF,Afghanistan,,9,2705,,,0,,2160,Asia/Kabul,2018/2/17,Afghanistan
1122747,Tarinkot,P,PPLA,AF,Afghanistan,,39,2601,,,10000,,1325,Asia/Kabul,2018/2/13,Afghanistan
1129077,Qaisar,P,PPLA2,AF,Afghanistan,,7,1804,,,0,,1258,Asia/Kabul,2020/7/8,Afghanistan
1133310,Mirabad,P,PPL,AF,Afghanistan,,19,2203,,,14160,,514,Asia/Kabul,2018/2/17,Afghanistan
1143782,Dwah Manday,P,PPLA2,AF,Afghanistan,,37,3213,,,0,,1543,Asia/Kabul,2020/6/9,Afghanistan
1146694,Bazar-e Talah,P,PPLA2,AF,Afghanistan,,3,1305,,,0,,1206,Asia/Kabul,2020/6/9,Afghanistan
1147851,Hukumati Azrah,P,PPLA2,AF,Afghanistan,,17,506,,,12526,,2330,Asia/Kabul,2020/6/9,Afghanistan
1429499,Sherwani-ye Bala,P,PPLA2,AF,Afghanistan,,14,204,,,0,,1786,Asia/Kabul,2020/6/11,Afghanistan
1123343,Tagaw-Bay,P,PPL,AF,Afghanistan,,33,3103,,,9096,,1666,Asia/Kabul,2020/6/9,Afghanistan
